,0,1
114,অবস্থান,ɔbost̪ʰɐn
115,দেশকে,d̪eʃke
116,অচল,ɔcɔl
117,দিতে,d̪ɪt̪e
118,চাচ্ছেন,cɐccʰen
119,এই,eɪ̯
120,বই,boɪ̯
121,রাজনৈতিক,ɾɐɟnoɪ̯t̪ɪk
122,নেতাকর্মীদের,net̪ɐkoɾmɪd̪eɾ
123,পথচলায়,pɔt̪ʰoclɐe̯
124,পাথেয়,pɐt̪ʰeʲo
125,স্বরূপ,ʃɔɾup
126,সেখানে,ʃekʰɐne
127,অবস্থার,ɔbost̪ʰɐɾ
128,অবনতি,ɔbonot̪ɪ
129,দেখে,d̪ekʰe
130,কর্তব্যরত,kɔɾt̪obboɾɔt̪o
131,চিকিৎসক,cɪkɪt̪ʃɔk
132,উন্নত,unnɔt̪o
133,চিকিৎসার,cɪkɪt̪ʃɐɾ
134,ঢাকা,dʱɐkɐ
135,মেডিকেল,medɪkel
136,কলেজ,kɔleɟ
137,হাসপাতালে,hɐʃpɐt̪ɐle
138,প্রেরণ,pɾeɾon
139,করলে,koɾle
140,রাস্তায়,ɾɐst̪ɐe̯
141,নবজাতকটি,nɔboɟɐt̪ktɪ
142,মারা,mɐɾɐ
143,যায়,ɟɐe̯
144,পাকিস্তানের,pɐkɪst̪ɐneɾ
145,অনুরাগীদের,onuɾɐgɪd̪eɾ
146,মুখের,mukʰeɾ
147,হাসির,hɐʃɪɾ
148,রেখা,ɾekʰɐ
149,মিলিয়ে,mɪlɪʲe
150,যেতে,ɟet̪e
151,দেবে,d̪ebe
152,বগুড়া,bɔguɽɐ
153,নওগাঁগামী,nogɐ̃gɐmɪ
154,দ্রুতগতির,d̪ɾut̪ɔgot̪ɪɾ
155,বাস,bɐs
156,পেছন,pecʰon
157,ইজিবাইককে,ɪɟɪbɐ͡ɪ̯kke
158,ধাক্কা,d̪ʱɐkkɐ
159,প্রকল্প,pɾokɔlpo
160,বাস্তবায়ন,bɐst̪obɐʲon
161,হলে,hole
162,আধুনিক,ɐd̪ʱunɪk
163,শিক্ষার,ʃɪkkʰɐɾ
164,সঙ্গে,ʃɔŋge
165,সমন্বয়,ʃɔmɔnnɔe̯
166,রেখে,ɾekʰe
167,মাদ্রাসা,mɐd̪ɾɐʃɐ
168,শিক্ষা,ʃɪkkʰɐ
169,ব্যবস্থার,bɛbost̪ʰɐɾ
170,আধুনিকীকরণ,kɐɾɟokɾom
171,বুধবার,bud̪ʱbɐɾ
172,সকালে,ʃɔkɐle
173,জিঞ্জিরাম,ɟɪnɟɪɾɐm
174,আধা,ɐd̪ʱɐ
175,কিলোমিটার,kɪlomɪtɐɾ
176,দক্ষিণে,d̪okkʰɪne
177,লাশ,lɐʃ
178,উদ্ধা,ud̪d̪ʱɐ
179,বঙ্গবন্ধু,bɔŋgobond̪ʱu
180,শেখ,ʃekʰ
181,মুজিবুর,muɟɪbuɾ
182,রহমানকে,ɾɔhomɐnke
183,দেশের,d̪eʃeɾ
184,অনেক,ɔnek
185,বড়,bɔɽo
186,নেতা,net̪ɐ
187,অভিহিত,obʱɪhɪt̪o
188,বলেন,bɔlen
189,জিয়াউর,ɟɪʲɐu̯ɾ
190,রহমানও,ɾɔhomɐno
191,এখন,ɛkʰon
192,কী,kɪ
193,হবে-,hɔbe-
194,জানতে,ɟɐnt̪e
195,চাইলে,cɐɪ̯le
196,নাম,nɐm
197,প্রকাশে,pɾokɐʃe
198,অনিচ্ছুক,ɔnɪccʰuk
199,ইসি,ɪsɪ
200,কর্মকর্তারা,kɔɾmokɔɾt̪ɐɾɐ
201,কমিশন,kɔmɪʃon
202,বসে,boʃe
203,সিদ্ধান্ত,ʃɪd̪d̪ʱɐnt̪o
204,নেবে,nebe
205,আমার,ɐmɐɾ
206,শেষ,ʃeʃ
207,প্রতিযোগিতা,pɾot̪ɪɟogɪt̪ɐ
208,বাড়তি,bɐɽt̪ɪ
209,চাপ,cɐp
210,নিতে,nɪt̪e
211,চাই,cɐɪ̯
212,তবে,t̪ɔbe
213,পালিয়ে,pɐlɪʲe
214,আসা,ɐʃɐ
215,লোকজন,lokɟɔn
216,স্থানীয়রা,st̪ʰɐnɪʲoɾɐ
217,বলছেন,bolcʰen
218,সহিংসতা,ʃɔhɪŋʃot̪ɐ
219,অব্যাহত,ɔbbɛhɔt̪o
220,আছে,ɐcʰe
221,সে,ʃe
222,সূত্র,ʃut̪ɾo
223,একমাত্র,ɛkmɐt̪ɾo
224,মেয়েকে,meʲeke
225,নিয়ে,nɪʲe
226,মামলায়,mɐmlɐe̯
227,জড়ান,ɟɔɽɐn
228,দম্পতি,d̪ɔmpot̪ɪ
229,খালেদা,kʰɐled̪ɐ
230,জিয়ার,ɟɪʲɐɾ
231,ভূমিকা,bʱumɪkɐ
232,জঙ্গি,ɟɔŋgɪ
233,কর্মকাণ্ডকে,kɔɾmokɐndoke
234,উৎসাহিত,ut̪ʃɐhɪt̪o
235,করছে,koɾcʰe
236,ব্যাপারে,bɛpɐɾe
237,বিস্তারিত,bɪst̪ɐɾɪt̪o
238,কিছু,kɪcʰu
239,জানানো,ɟɐnɐno
240,হয়নি,hɔʲnɪ
241,তদন্ত,t̪ɔd̪ont̪o
242,কমিটির,kɔmɪtɪɾ
243,একাধিক,ɛkɐd̪ʱɪk
244,সদস্য,ʃɔd̪oʃʃo
245,যুগান্তরকে,ɟugɐnt̪ɔɾke
246,বিষয়টি,bɪʃɔʲtɪ
247,নিশ্চিত,nɪʃcɪt̪o
248,করেছেন,koɾecʰen
249,এছাড়া,ecʰɐɽɐ
250,আরো,ɐɾo
251,অভিনয়,obʱɪnɔe̯
252,পার্থ,pɐɾt̪ʰo
253,বড়ুয়া,boɽuʲɐ
254,গাউসুল,gɐ͡u̯ʃul
255,আলম,ɐlom
256,শাওন,bɐŋlɐd̪eʃeɾ
257,এজাজ,eɟɐɟ
258,বারী,bɐɾɪ
259,হীরা,hɪɾɐ
260,চৌধুরী,cou̯d̪ʱuɾɪ
261,সোহেল,ʃohel
262,প্রমুখ,pɾomukʰo
263,আমি,ɐmɪ
264,অনেকগুলো,ɔnekgulo
265,ইসলামী,ɪslɐmɪ
266,দলকে,d̪ɔlke
267,ঐক্যবদ্ধ,oɪ̯kkobɔd̪d̪ʱo
268,হওয়ার,hoʷɐɾ
269,আহ্বান,ɐhobɐn
270,জানিয়েছিলাম,ɟɐnɪʲecʰɪlɐm
271,ডাক-চিৎকারে,dɐk-cɪt̪kɐɾe
272,আশপাশের,ɐʃpɐʃeɾ
273,এগিয়ে,egɪʲe
274,এলে,ele
275,প্রতিপক্ষের,pɾot̪ɪpɔkkʰeɾ
276,হত্যার,hot̪t̪ɐɾ
277,হুমকি,humkɪ
278,বিক্ষুব্ধ,bɪkkʰubd̪ʱo
279,তাকে,t̪ɐke
280,গণপিটুনি,gɔnopɪtunɪ
281,পুলিশে,pulɪʃe
282,সোপর্দ,sopɔɾd̪o
283,চেয়ারম্যান,ceʲɐɾmɛn
284,সচিবের,ʃocɪbeɾ
285,পদ,pɔd̪
286,শূন্য,ʃunno
287,থাকায়,t̪ʰɐkɐe̯
288,শারীরিকভাবে,ʃɐɾɪɾɪkbʱɐbe
289,অসুস্থ্য,ɔʃust̪ʰo
290,পরীক্ষা,poɾɪkkʰɐ
291,নিয়ন্ত্রক,nɪʲont̪ɾok
292,তোফাজ্জুর,t̪opʰɐɟɟuɾ
293,পালন,pɐlon
294,করতে,koɾt̪e
295,হচ্ছে,hoccʰe
296,গুরুত্বপূর্ণ,guɾut̪t̪opuɾno
297,তিনটি,t̪ɪntɪ
298,দায়িত্ব,d̪ɐʲɪt̪t̪o
299,মাঠে,mɐtʰe
300,গোল,gol
301,করার,kɔɾɐɾ
302,মতো,mɔt̪o
303,কঠিন,kotʰɪn
304,কাজটাকে,kɐɟtɐke
305,রীতিমতো,ɾɪt̪ɪmɔt̪o
306,অভ্যাস,ɔbbʱɐʃ
307,বানিয়ে,bɐnɪʲe
308,ফেলেছেন,pʰelecʰen
309,ব্রাজিলে,bɾɐɟɪle
310,জন্মগ্রহণকারী,ɟɔnmogɾohonkɐɾɪ
311,স্প্যানিশ,spɔɛnɪʃ
312,ফরোয়ার্ড,pʰɔɾoʷɐɾd
313,মঙ্গলবার,moŋgolbɐɾ
314,বাদ,bɐd̪
315,জোহর,ɟohoɾ
316,আসর,ɐʃoɾ
317,জানাজা,ɟɐnɐɟɐ
318,শেষে,ʃeʃe
319,বন্দর,bɔnd̪oɾ
320,বনগণ,bɔngɔn
321,কাছেমিয়া,kɐcʰemɪʲɐ
322,দরবার,d̪ɔɾbɐɾ
323,শরীফে,ʃoɾɪfe
324,দাফন,d̪ɐpʰon
325,দীর্ঘদিন,d̪ɪɾgʱod̪ɪn
326,যানজটের,ɟɐnɟɔteɾ
327,কবলে,kobole
328,থাকা,t̪ʰɐkɐ
329,গাজীপুরকে,gɐɟɪpuɾke
330,অনেকটা,ɔnektɐ
331,অভিশাপ,obʱɪʃɐp
332,মুক্তি,mukt̪ɪ
333,সক্ষম,ʃɔkkʰom
334,হন,hɔn
335,যা,ɟɐ
336,প্রাচীর,pɾɐcɪɾ
337,দ্বারা,d̪ɐɾɐ
338,বেষ্টিত,beʃtɪt̪o
339,শিশুটিকে,ʃɪʃutɪke
340,উদ্ধার,ud̪d̪ʱɐɾ
341,চমেক,cɔmek
342,যান,ɟɐn
343,বিষয়ে,bɪʃɔʲe
344,তেমন,t̪ɛmon
345,কথাও,kɔt̪ʰɐo̯
346,কারও,kɐɾo
347,ঘটনায়,gʱɔtonɐe̯
348,মনুর,monuɾ
349,পক্ষ,pokkʰo
350,অভিযোগ,obʱɪɟog
351,যদি,ɟod̪ɪ
352,তা,t̪ɐ
353,তাহলে,t̪ɐhole
354,বদলি,bod̪lɪ
355,বিরুদ্ধে,bɪɾud̪d̪ʱe
356,কমিটি,kɔmɪtɪ
357,গঠন,gɔtʰon
358,স্থায়ী,st̪ʰɐʲɪ
359,তহবিল,t̪ɔhobɪl
360,সরকারের,ʃɔɾkɐɾeɾ
361,এককালীন,ɛkkɐlɪn
362,দেয়া,d̪eʲɐ
363,অর্থ,ɔɾt̪ʰo
364,থাকবে,t̪ʰɐkbe
365,কারণ,kɐɾon
366,উচ্চ,ucco
367,আদালতের,ɐd̪ɐlɔt̪eɾ
368,রায়,ɾɐe̯
369,ইরানের,ɪɾɐneɾ
370,কেউ,keu̯
371,হজে,hoɟe
372,অন্য,ɔnno
373,দেশ,d̪eʃ
374,ভিসা,bʱɪʃɐ
375,প্রক্রিয়া,pɾokɾɪʲɐ
376,সম্পন্ন,ʃɔmponno
377,সৌদি,sou̯d̪ɪ
378,আরব,ɐɾɔbo
379,পারবেন,pɐɾben
380,সংগ্রহশালায়,ʃɔŋgɾohoʃɐlɐe̯
381,প্রায়,pɾɐe̯
382,হাজার,hɐɟɐɾ
383,কর্মী,kɔɾmɪ
384,গবেষক,gɔbeʃok
385,নিয়োজিত,nɪʲoɟɪt̪o
386,আছেন,ɐcʰen
387,সন্ধ্যা,ʃond̪ʱɐ
388,ঘনিয়ে,gʱonɪʲe
389,যাওয়ার,ɟɐo̯ʷɐɾ
390,পরও,pɔɾo
391,ক্লিনিকের,klɪnɪkeɾ
392,দরজা,d̪ɔɾɟɐ
393,ছিল,cʰɪlo
394,আমরা,ɐmɾɐ
395,যুদ্ধ,ɟud̪d̪ʱo
396,শান্তিপূর্ণভাবে,ʃɐnt̪ɪpuɾnobʱɐbe
397,সংকটের,ʃɔŋkɔteɾ
398,সমাধান,ʃɔmɐd̪ʱɐn
399,গৃহবধূর,gɾɪhobod̪ʱuɾ
400,মৃত্যুর,mɾɪt̪t̪uɾ
401,বাবা,bɐbɐ
402,এটিকে,etɪke
403,হত্যাকাণ্ড,hot̪t̪ɐkɐndo
404,দাবি,d̪ɐbɪ
405,করছেন,koɾcʰen
406,কর্মকাণ্ডে,kɔɾmokɐnde
407,সেটি,ʃetɪ
408,সমর্থন,ʃɔmɔɾt̪ʰon
409,বেঁচে,bẽce
410,থাকার,t̪ʰɐkɐɾ
411,আশা,ɐʃɐ
412,খুবই,kʰubɪ
413,ক্ষীণ,kʰɪno
414,এরপর,eɾpɔɾ
415,গতকাল,gɔt̪okɐl
416,সফল,ʃɔpʰol
417,অফিযানের,opʰɪɟɐneɾ
418,খবর,kʰɔboɾ
419,আসে,ɐʃe
420,আবারও,ɐbɐɾo
421,সবাইকে,ʃɔbɐɪ̯ke
422,মনে,mone
423,করিয়ে,koɾɪʲe
424,সেই,ʃeɪ̯
425,উইন,u͡ɪ̯n
426,সমীকরণ,ʃomɪkɔɾon
427,যেখানে,ɟekʰɐne
428,পোশাকশিল্পের,poʃɐkʃɪlpeɾ
429,নেপথ্যের,nepot̪t̪ʰkɾ
430,নারীশ্রমিকরা,nɐɾɪsɾomɪkɔɾɐ
431,যোগ্য,ɟoggo
432,অংশীদার,oŋʃɪd̪ɐɾ
433,রক্ত,ɾɔkt̪o
434,প্রসূতির,pɾoʃut̪ɪɾ
435,শ্বাসকষ্টে,ʃɐʃkɔʃte
436,মৃত্যু,mɾɪt̪t̪u
437,সৌজন্য,ʃou̯ɟonno
438,সাক্ষাৎ,ʃɐkkʰɐt̪
439,নিয়মিত,nɪʲomɪt̪o
440,বিচার,bɪcɐɾ
441,কার্যক্রম,kɐɾɟokɾom
442,আনন্দ,ɐnond̪o
443,র‌্যালি,ɾɛlɪ
444,বের,beɾ
445,চলতি,colt̪ɪ
446,মৌসুমে,mou̯ʃume
447,কোচের,koceɾ
448,কন্তে,kɔnt̪e
449,লুইজকে,lu͡ɪ̯ɟɔke
450,স্ট্যামফোর্ড,stɐmpʰoɾd
451,ব্রিজে,bɾɪɟe
452,ফিরিয়ে,pʰɪɾɪʲe
453,আনেন,ɐnen
454,সরকার,ʃɔɾkɐɾ
455,তথ্যপ্রযুক্তি,t̪ot̪t̪opɾoɟukt̪ɪ
456,খাতের,kʰɐt̪eɾ
457,উদ্ভাবনীকে,ud̪bʱɐbonɪke
458,কাজে,kɐɟe
459,লাগিয়ে,lɐgɪʲe
460,দেশে,d̪eʃe
461,আইসিটি,ɐɪ̯sɪtɪ
462,ইনোভেশন,ɪnobʱeʃon
463,ইকোসিস্টেম,ɪkoʃɪstem
464,গড়ে,goɽe
465,তুলতে,t̪ult̪e
466,চায়,cɐe̯
467,আসামে,ɐʃɐme
468,কত,kɔt̪o
469,লোক,lok
470,যাচ্ছে,ɟɐccʰe
471,জলের,ɟɔleɾ
472,তোড়ে,t̪oɽe
473,ভেসে,bʱeʃe
474,হিসাব,hɪʃɐb
475,নেই,neɪ̯
476,লড়াই,lɔɽɐɪ̯
477,সমস্যাই,ʃɔmoʃʃɐ͡ɪ̯
478,লিখিত,lɪkʰɪt̪o
479,বক্তব্যে,bokt̪obbe
480,মখলিছুর,mkʰlɪcʰuɾ
481,রহমান,ɾɔhomɐn
482,এলাকায়,elɐkɐe̯
483,ব্যবসা,bɛbʃɐ
484,আসছেন,ɐʃcʰen
485,উদার,ud̪ɐɾ
486,মন,mon
487,সমস্যার,ʃɔmoʃʃɐɾ
488,এতে,et̪e
489,কিশোরগঞ্জ,kɪʃoɾgɔnɟ
490,নরসিংদী,nɔɾoʃɪŋd̪ɪ
491,ব্রাহ্মণবাড়িয়া,bɾɐmmonbɐɽɪʲɐ
492,সিলেট,sɪlet
493,সুনামগঞ্জ,ʃunɐmgɔnɟ
494,হবিগঞ্জ,hobɪgɔnɟ
495,মৌলভীবাজার,mou̯lobʱɪbɐɟɐɾ
496,জেলা,ɟelɐ
497,কয়েক,kɔʲek
498,মুক্তিযোদ্ধা,mukt̪ɪɟod̪d̪ʱɐ
499,জড়ো,ɟɔɽo
500,হয়ে,hoʲe
501,তেলিয়াপাড়া,t̪elɪʲɐpɐɽɐ
502,দিবসের,d̪ɪbɔʃeɾ
503,স্মৃতিচারণ,sɾɪt̪ɪcɐɾon
504,খারাপ,kʰɐɾɐp
505,লাগছে,lɐgcʰe
506,কিন্তু,kɪnt̪u
507,যৌতুকলোভী,ɟou̯t̪uklobʱɪ
508,শিপন,ʃɪpɔn
509,পরিবারের,poɾɪbɐɾeɾ
510,বিয়ের,bɪʲeɾ
511,থেকেই,t̪ʰekeɪ̯
512,যৌতুকের,ɟou̯t̪ukeɾ
513,অমানুষিক,ɔmɐnuʃɪk
514,নির্যাতন,nɪɾɟɐt̪on
515,চালিয়ে,cɐlɪʲe
516,আসছিল,ɐʃcʰɪlo
517,রুল,ɾul
518,বিচারাধীন,bɪcɐɾɐd̪ʱɪn
519,পরনে,pɔɾone
520,সেনার,ʃenɐɾ
521,পোশাক,poʃɐk
522,পররাষ্ট্র,pɔɾɔɾɐʃtɾo
523,স্বরাষ্ট্র,ʃɔɾɐʃtɾo
524,সিভিল,sɪbʱɪl
525,এভিয়েশন,ebʱɪʲeʃon
526,সচিব,ʃocɪb
527,প্রধানমন্ত্রীর,pɾod̪ʱɐnmont̪ɾɪɾ
528,নিরাপত্তা,nɪɾɐpɔt̪t̪ɐ
529,উপদেষ্টা,upod̪eʃtɐ
530,অংশ,ɔŋʃo
531,নেবেন,neben
532,অধিনায়ক,od̪ʱɪnɐʲok
533,জো,ɟo
534,রুটের,ɾuteɾ
535,লড়াকু,lɔɽɐku
536,ফিফটিতে,pʰɪpʰtɪt̪e
537,লক্ষ্যের,lokkʰeɾ
538,অর্ধেক,ɔɾd̪ʱek
539,পথ,pɔt̪ʰ
540,পেরিয়ে,peɾɪʲe
541,সিরিজের,sɪɾɪɟeɾ
542,দ্বিতীয়,d̪ɪt̪ɪʲo
543,টেস্ট,test
544,দারুণ,d̪ɐɾun
545,জমিয়ে,ɟomɪʲe
546,তুলেছে,t̪ulecʰe
547,ইংল্যান্ড,ɪŋlɛnd
548,অগ্নিকাণ্ডের,ognɪkɐndeɾ
549,মূলত,mulɔt̪o
550,পানি,pɐnɪ
551,কারণে,kɐɾone
552,আগুন,ɐgun
553,নেভানোর,nebʱɐnoɾ
554,ক্ষেত্রে,kʰet̪ɾe
555,ফায়ার,pʰɐʲɐɾ
556,সার্ভিসের,sɐɾvɪseɾ
557,কর্মীরা,kɔɾmɪɾɐ
558,সমস্যায়,ʃɔmoʃʃɐe̯
559,পড়েন,pɔɽen
560,মারজিয়া,mɐɾɟɪʲɐ
561,পেরে,peɾe
562,স্বামীকে,ʃɐmɪke
563,ওই,oɪ̯
564,ফিরে,pʰɪɾe
565,আসতে,ɐʃt̪e
566,আজ,ɐɟ
567,তোমাদের,t̪omɐd̪eɾ
568,ইংরেজি,ɪŋɾeɟɪ
569,প্রথমপত্রের,pɾot̪ʰompɔt̪ɾeɾ
570,Part-I-Gi,--
571,seen,seen
572,passage,pɐssɐge
573,Part-II-Gi,--
574,Writing,Wɾɪtɪng
575,Test,Test
576,অংশের,ɔŋʃeɾ
577,সাজেশন,ʃɐɟeʃon
578,হল,hɔl
579,আন্দোলনের,ɐnd̪olɔneɾ
580,সবকটি,ʃɔbkɔtɪ
581,দিনেই,d̪ɪneɪ̯
582,ক্লাস-পরীক্ষা,klɐs-poɾɪkkʰɐ
583,বর্জন,bɔɾɟon
584,মানববন্ধনসহ,mɐnobbɔnd̪ʱonʃɔho
585,মৌন,mou̯no
586,মিছিল,mɪcʰɪlo
587,করেছে,koɾecʰe
588,শোকসন্তপ্ত,ʃokʃɔnt̪opt̪o
589,পরিবারকে,poɾɪbɐɾke
590,সমবেদনা,ʃɔmobed̪onɐ
591,মিতু,mɪt̪u
592,হত্যা,hot̪t̪ɐ
593,সম্পর্কে,ʃɔmpɔɾke
594,জিজ্ঞাসাবাদ,ɟɪggɐʃɐbɐd̪
595,তৃণমূলের,t̪ɾɪnomuleɾ
596,নিবেদিত,nɪbed̪ɪt̪o
597,মুক্তিযুদ্ধের,mukt̪ɪɟud̪d̪ʱeɾ
598,স্বপক্ষের,ʃɔpokkʰeɾ
599,পরিবর্তে,poɾɪbɔɾt̪e
600,রাজাকারপুত্র,ɾɐɟɐkɐɾput̪ɾo
601,বিতর্কিতরা,bɪt̪oɾkɪt̪oɾɐ
602,তৃণমূল,t̪ɾɪnomul
603,নেতাকর্মীরা,net̪ɐkoɾmɪɾɐ
604,বাতিলের,bɐt̪ɪleɾ
605,জানিয়েছেন,hɔk
606,ঘটনা,gʱɔtonɐ
607,তদন্তে,t̪ɔd̪ont̪e
608,তিন,t̪ɪn
609,সদস্যের,ʃɔd̪oʃʃeɾ
610,হয়েছে,hoʲecʰe
611,যে,ɟe
612,পাল্টা,pɐltɐ
613,ব্যবস্থা,bɛbost̪ʰɐ
614,নেয়ার,neʲɐɾ
615,অধিকার,od̪ʱɪkɐɾ
616,পিয়ংইয়ংয়ের,pɪʲoŋɪʲoŋʲeɾ
617,সবসময়,ʃɔbʃɔmɔe̯
618,সেরা,ʃeɾɐ
619,খেলোয়াড়রা,kʰeloʷɐɽɾɐ
620,একা,ɛkɐ
621,সবকিছু,ʃɔbkɪcʰu
622,পারে,pɐɾe
623,যুক্তরাষ্ট্র,ɟukt̪oɾɐʃtɾo
624,বিভিন্ন,bɪbʱɪnno
625,ধর্মীয়,d̪ʱɔɾmɪʲo
626,স্বাধীনতার,ʃɐd̪ʱɪnɔt̪ɐɾ
627,নজর,noɟoɾ
628,রাখে,ɾɐkʰe
629,অস্ত্রধারী,ɔst̪ɾod̪ʱɐɾɪ
630,কয়েকজন,kɔʲekɟɔn
631,যুবক,ɟubok
632,অস্ত্রের,ɔst̪ɾeɾ
633,মুখে,mukʰe
634,পর্যায়ক্রমে,poɾɟɐʲkɾome
635,শিক্ষকের,ʃɪkkʰɔkeɾ
636,নির্বাচন,nɪɾbɐcɔn
637,কমিশনও,kɔmɪʃono
638,নিবেন,nɪben
639,ডানপ্রান্ত,dɐnpɾɐnt̪o
640,জাফর,ɟɐpʰɔɾ
641,ইকবালের,ɪkbɐleɾ
642,শট,ʃɔt
643,সাইডবার,sɐ͡ɪ̯dbɐɾ
644,ঘেঁষে,gʱẽʃe
645,বাইরে,bɐɪ̯ɾe
646,চলে,cɔle
647,ছোট্ট,cʰe͡ɐ̯tto
648,ইনিংসই,ɪnɪŋʃo͡ɪ̯
649,বিগ,bɪg
650,ব্যাশে,bɛʃe
651,রীতিমত,ɾɪt̪ɪmɔt̪
652,তোলপাড়,t̪olpɐɽ
653,দিয়েছে,d̪ɪʲecʰe
654,বিচারক,bɪcɐɾok
655,হিসেবে,hɪʃebe
656,দুই,d̪uɪ̯
657,জহিরুলের,ɟɔhɪɾuleɾ
658,মোটরসাইকেলের,motoɾsɐɪkeleɾ
659,পেছনে,pecʰone
660,উঠেন,utʰen
661,আ,ɐ
662,জব্বার,ɟɔbbɐɾ
663,জুলহাস,ɟulhɐʃ
664,গলা,gɔlɐ
665,কেটে,kete
666,মাথার,mɐt̪ʰɐɾ
667,পেছনের,pecʰoneɾ
668,অংশে,ɔŋʃe
669,ছুরিকাঘাত,cʰuɾɪkɐgʱɐt̪
670,ফলে,pʰɔle
671,সর্ব্বোচ্চ,ʃɔɾbocco
672,বিদ্যাপীঠে,bɪd̪d̪ɐpɪtʰe
673,নিরাপরাধ,nɪɾɐpɔɾɐd̪ʱ
674,শিক্ষার্থী,ʃɪkkʰɐɾt̪ʰɪ
675,হয়েও,hoʲeo̯
676,পুলিশের,pulɪʃeɾ
677,হয়রানির,hɔʲɾɐnɪɾ
678,শিকার,ʃɪkɐɾ
679,হচ্ছি,hoccʰɪ
